Date,corn,soybean_meal,hog,crush,corn + soybean_meal
2001-05-16,33037.5,15130.000000000002,162240.0,114072.5,48167.5
2001-05-17,33037.5,15250.0,164080.0,115792.5,48287.5
2001-05-18,32812.5,15190.0,162480.0,114477.5,48002.5
2001-05-21,31875.0,15040.0,160960.0,114045.0,46915.0
2001-05-22,31500.0,15040.0,159840.0,113300.0,46540.0
2001-05-23,31687.5,15000.0,159120.0,112432.5,46687.5
2001-05-24,31912.5,15069.999999999998,159600.0,112617.5,46982.5
2001-05-25,31950.0,15130.000000000002,155920.0,108840.0,47080.0
2001-05-29,31200.0,14730.000000000002,162320.0,116390.0,45930.0
2001-05-30,31200.0,14740.0,165040.0,119100.0,45940.0
2001-06-01,32662.500000000007,15110.0,167600.0,119827.5,47772.50000000001
2001-06-04,32250.0,15190.0,166640.0,119200.0,47440.0
2001-06-05,32137.5,15219.999999999998,165040.0,117682.5,47357.5
2001-06-06,32587.5,15410.0,164560.0,116562.5,47997.5
2001-06-07,32550.0,15380.000000000002,165120.0,117190.0,47930.0
2001-06-08,32324.999999999993,15569.999999999998,168560.0,120665.0,47894.99999999999
2001-06-11,32587.5,15680.000000000002,170800.0,122532.5,48267.5
2001-06-12,32362.500000000007,15860.0,171280.0,123057.5,48222.50000000001
2001-06-13,32287.5,15769.999999999998,171520.0,123462.5,48057.5
2001-06-14,32024.999999999993,15690.0,169360.0,121645.0,47714.99999999999
2001-06-15,31387.499999999993,15410.0,171040.0,124242.5,46797.49999999999
2001-06-18,31350.0,15480.000000000002,168320.0,121490.0,46830.0
2001-06-19,31687.5,15550.0,169040.0,121802.5,47237.5
2001-06-20,31312.5,15369.999999999998,168960.0,122277.5,46682.5
2001-06-21,30937.5,15269.999999999998,170080.0,123872.5,46207.5
2001-06-22,30825.0,15090.0,170960.0,125045.0,45915.0
2001-06-25,30449.999999999993,15010.0,173600.0,128140.0,45459.99999999999
2001-06-26,30562.5,15169.999999999998,172720.0,126987.5,45732.5
2001-06-27,30975.0,15419.999999999998,172800.0,126405.0,46395.0
2001-06-28,31237.5,15400.0,173920.0,127282.5,46637.5
2001-06-29,31237.5,16230.000000000002,175520.0,128052.5,47467.5
2001-07-03,32062.5,16580.0,181440.0,132797.5,48642.5
2001-07-05,32587.5,16660.0,182000.0,132752.5,49247.5
2001-07-06,32775.0,16390.0,182000.0,132835.0,49165.0
2001-07-09,33487.5,16810.0,178480.0,128182.5,50297.5
2001-07-10,34275.0,17010.0,173680.0,122395.0,51285.0
2001-07-11,35475.00000000001,17110.0,173680.0,121095.0,52585.00000000001
2001-07-12,36900.0,17460.0,174000.0,119640.0,54360.0
2001-07-13,35475.00000000001,17270.0,176000.0,123255.0,52745.00000000001
2001-07-16,34275.0,16740.0,176720.0,125705.0,51015.0
2001-07-17,35475.00000000001,16990.0,177280.0,124815.0,52465.00000000001
2001-07-18,34275.0,16700.0,176800.0,125825.0,50975.0
2001-07-19,34237.50000000001,16640.0,178320.0,127442.5,50877.50000000001
2001-07-20,33075.0,16200.0,178240.0,128965.0,49275.0
2001-07-23,33112.5,16430.0,174000.0,124457.5,49542.5
2001-07-24,33975.0,16520.0,173680.0,123185.0,50495.0
2001-07-25,34687.5,16870.0,174160.0,122602.5,51557.5
2001-07-26,34425.0,16810.0,175440.0,124205.0,51235.0
2001-07-27,34762.5,16980.0,176160.0,124417.5,51742.5
2001-07-30,34199.99999999999,16520.0,175920.0,125200.0,50719.99999999999
2001-07-31,34537.50000000001,16640.0,178000.0,126822.5,51177.50000000001
2001-08-01,34012.5,16550.0,178880.0,128317.5,50562.5
2001-08-02,33750.0,16290.0,176000.0,125960.0,50040.0
2001-08-03,33975.0,16400.0,177200.0,126825.0,50375.0
2001-08-06,33637.5,16260.0,175440.0,125542.5,49897.5
2001-08-07,34162.5,16269.999999999998,175440.0,125007.5,50432.5
2001-08-08,34425.0,16250.0,176720.0,126045.0,50675.0
2001-08-09,34725.0,16620.0,176240.0,124895.0,51345.0
2001-08-10,35137.49999999999,16730.0,180960.0,129092.5,51867.49999999999
2001-08-13,35550.0,16970.0,182000.0,129480.0,52520.0
2001-08-15,34762.5,16950.0,180800.0,129087.5,51712.5
2001-08-16,34425.0,16610.0,180240.0,129205.0,51035.0
2001-08-17,34237.50000000001,16640.0,180400.0,129522.5,50877.50000000001
2001-08-20,33750.0,16340.0,179360.0,129270.0,50090.0
2001-08-21,34162.5,16510.0,172960.0,122287.5,50672.5
2001-08-22,34199.99999999999,16440.0,174560.0,123920.0,50639.99999999999
2001-08-23,34762.5,16290.0,175520.0,124467.5,51052.5
2001-08-24,34237.50000000001,16130.000000000002,177040.0,126672.5,50367.50000000001
2001-08-27,34650.0,16110.0,171040.0,120280.0,50760.0
2001-08-28,34350.0,16080.000000000002,170160.0,119730.0,50430.0
2001-08-29,34687.5,16400.0,172880.0,121792.5,51087.5
2001-08-30,34500.0,16380.000000000002,170160.0,119280.0,50880.0
2001-08-31,34837.49999999999,16860.0,173840.0,122142.5,51697.49999999999
2001-09-04,34537.50000000001,16760.0,179520.0,128222.5,51297.50000000001
2001-09-05,34462.5,16540.0,180400.0,129397.5,51002.5
2001-09-06,33937.5,16380.000000000002,180400.0,130082.5,50317.5
2001-09-13,34425.0,17000.0,180080.0,128655.0,51425.0
2001-09-14,33637.5,16720.0,181360.0,131002.5,50357.5
2001-09-17,33262.49999999999,16910.0,181280.0,131107.5,50172.49999999999
2001-09-18,32775.0,16650.0,181680.0,132255.0,49425.0
2001-09-19,32400.0,16420.0,175520.0,126700.0,48820.0
2001-09-20,32812.5,16610.0,175680.0,126257.5,49422.5
2001-09-21,32587.5,16420.0,176880.0,127872.5,49007.5
2001-09-24,32362.500000000007,16230.000000000002,175760.0,127167.5,48592.50000000001
2001-09-25,32324.999999999993,16040.0,172400.0,124035.0,48364.99999999999
2001-09-26,32512.5,16160.0,172080.0,123407.5,48672.5
2001-09-27,32400.0,16069.999999999998,171600.0,123130.0,48470.0
2001-09-28,32175.0,15940.0,175440.0,127325.0,48115.0
2001-10-02,31387.499999999993,16160.0,183280.0,135732.5,47547.49999999999
2001-10-03,31612.5,16219.999999999998,179600.0,131767.5,47832.5
2001-10-04,31725.000000000007,16219.999999999998,180080.0,132135.0,47945.00000000001
2001-10-05,32137.5,16380.000000000002,176880.0,128362.5,48517.5
2001-10-08,32324.999999999993,16670.0,175600.0,126605.0,48994.99999999999
2001-10-09,31950.0,16420.0,171520.0,123150.0,48370.0
2001-10-11,31987.5,16410.0,166160.0,117762.5,48397.5
2001-10-12,31275.0,16080.000000000002,164000.0,116645.0,47355.0
2001-10-15,30900.0,15700.0,157600.0,111000.0,46600.0
